x	y	key	label	showSelected1	showSelected2	group
-0.2	-0.2	1	step size=0.0002	1	2e-04	-1
-0.2	-0.2	1	step size=0.0002	1	2e-04	-1
-0.2	-0.2	1	step size=0.0002	2	2e-04	-1
-0.2	-0.2	1	step size=0.0002	2	2e-04	-1
-0.2	-0.2	1	step size=0.0002	3	2e-04	-1
-0.2	-0.2	1	step size=0.0002	3	2e-04	-1
-0.2	-0.2	1	step size=0.0002	4	2e-04	-1
-0.2	-0.2	1	step size=0.0002	4	2e-04	-1
-0.2	-0.2	1	step size=0.0002	5	2e-04	-1
-0.2	-0.2	1	step size=0.0002	5	2e-04	-1
-0.2	-0.2	1	step size=0.0002	6	2e-04	-1
-0.2	-0.2	1	step size=0.0002	6	2e-04	-1
-0.2	-0.2	1	step size=0.0002	7	2e-04	-1
-0.2	-0.2	1	step size=0.0002	7	2e-04	-1
-0.2	-0.2	1	step size=0.0002	8	2e-04	-1
-0.2	-0.2	1	step size=0.0002	8	2e-04	-1
-0.2	-0.2	1	step size=0.0002	9	2e-04	-1
-0.2	-0.2	1	step size=0.0002	9	2e-04	-1
-0.2	-0.2	1	step size=0.0002	10	2e-04	-1
-0.2	-0.2	1	step size=0.0002	10	2e-04	-1
-0.2	-0.2	1	step size=0.0002	11	2e-04	-1
-0.2	-0.2	1	step size=0.0002	11	2e-04	-1
-0.2	-0.2	1	step size=0.0002	12	2e-04	-1
-0.2	-0.2	1	step size=0.0002	12	2e-04	-1
-0.2	-0.2	1	step size=0.0002	13	2e-04	-1
-0.2	-0.2	1	step size=0.0002	13	2e-04	-1
-0.2	-0.2	1	step size=0.0002	14	2e-04	-1
-0.2	-0.2	1	step size=0.0002	14	2e-04	-1
-0.2	-0.2	1	step size=0.0002	15	2e-04	-1
-0.2	-0.2	1	step size=0.0002	15	2e-04	-1
-0.2	-0.2	1	step size=0.0002	16	2e-04	-1
-0.2	-0.2	1	step size=0.0002	16	2e-04	-1
-0.2	-0.2	1	step size=0.0002	17	2e-04	-1
-0.2	-0.2	1	step size=0.0002	17	2e-04	-1
-0.2	-0.2	1	step size=0.0002	18	2e-04	-1
-0.2	-0.2	1	step size=0.0002	18	2e-04	-1
-0.2	-0.2	1	step size=0.0002	19	2e-04	-1
-0.2	-0.2	1	step size=0.0002	19	2e-04	-1
-0.2	-0.2	1	step size=0.0002	20	2e-04	-1
-0.2	-0.2	1	step size=0.0002	20	2e-04	-1
-0.2	-0.2	1	step size=0.0002	21	2e-04	-1
